Timestamp,Q1_Marriage_Timeline,Q2_Cost_Realistic,Q3_Biggest_Barrier,Q4_Replace_Shabka,Q5_Reasonable_Shabka,Q6_Willing_To_Do,Q7_Costs_Cause_Delay,Q8_Personally_Affected,Q9_Anxiety,Q10_Delayed_Engagement,Q11_Tradition_Reconsider,Q12_Money_Needed
2026-04-06 00:09:24.786,Within 1 year,"No, it's completely unrealistic",Apartment cost,"Yes, completely fine with it",1–20 grams,"Reduce or eliminate the Shabka, Work or move abroad",Definitely yes,"Yes, significantly",Very anxious,"Yes, me personally","shabka, houses, 2ayma",no less than 1.5m
2026-04-06 00:11:27.881,I have no plans yet,"No, it's completely unrealistic",Gold (Shabka),"No, gold is a non-negotiable tradition",1–20 grams,"Ask family for help, Reduce or eliminate the Shabka, Work or move abroad",Probably yes,"Not yet, but I expect it will",A little anxious,No,"Treating their daughter like shes the only girl in the world and she deserves a 2 million EGP ""mahr""",2000000
2026-04-06 00:17:21.961,I have no plans yet,"Yes, it's manageable",Furniture and setup costs,"No, gold is a non-negotiable tradition",20–50 grams,Ask family for help,Definitely yes,"Not yet, but I expect it will",Not at all,No,,
2026-04-06 00:20:13.909,Within 1 year,"No, it's completely unrealistic",Gold (Shabka),"Yes, but only if both families agree",1–20 grams,Work or move abroad,Definitely yes,Somewhat,A little anxious,I’ve heard cases,القايمة,1 million
2026-04-06 00:20:40.187,I have no plans yet,It's difficult but possible,Apartment cost,"No, gold is a non-negotiable tradition",20–50 grams,"Delay the wedding, Ask family for help, Work or move abroad",Definitely yes,"No, not at all",A little anxious,No,,
2026-04-06 00:23:43.340,More than 3 years,"No, it's completely unrealistic",Wedding expenses,"No, gold is a non-negotiable tradition",1–20 grams,Reduce or eliminate the Shabka,Definitely yes,"Not yet, but I expect it will",I avoid thinking about marriage,I’ve heard cases,,700k minimum 
2026-04-06 00:23:53.340,2–3 years,"No, it's completely unrealistic",Gold (Shabka),"Yes, but only if both families agree",1–20 grams,"Reduce or eliminate the Shabka, Work or move abroad",Definitely yes,"Not yet, but I expect it will",Not at all,No,,
2026-04-06 00:24:07.648,2–3 years,"No, it's completely unrealistic",Apartment cost,"Yes, but only if both families agree",1–20 grams,Work or move abroad,Definitely yes,Somewhat,Very anxious,"Yes, a close friend or relative",,
2026-04-06 00:28:03.701,2–3 years,"No, it's completely unrealistic",Apartment cost,"Yes, but only if both families agree",20–50 grams,Work or move abroad,Definitely yes,"Not yet, but I expect it will",I avoid thinking about marriage,No,Very expense weddings ,From 3 to 7 millions 
2026-04-06 00:29:20.290,I have no plans yet,"No, it's completely unrealistic",Apartment cost,"No, gold is a non-negotiable tradition",20–50 grams,"Ask family for help, Work or move abroad",Definitely yes,Somewhat,I avoid thinking about marriage,I’ve heard cases,The big lavish weddings are useless and idiotic,"A few million, including everything maybe 3 to 5 million"
2026-04-06 00:29:20.489,More than 3 years,"No, it's completely unrealistic",Wedding expenses,"No, gold is a non-negotiable tradition",1–20 grams,"Ask family for help, Work or move abroad",Definitely yes,"Not yet, but I expect it will",Very anxious,I’ve heard cases,i have nothing in mind,not less than 5 million
